entity_id	label	old_date	old_precision	new_date_type	new_date	new_precision
2894	El mundo alucinante	1969-01-01	1	publication	1969-01-01	1
2895	Q61071509	1971-01-01	1	release	1971-01-01	1
2896	Amanda by Night	1981-01-01	1	release	1981-01-01	1
2898	A Forest	1979-01-01	1	publication	1979-01-01	1
2899	The Hanging Garden	1982-07-12	3	publication	1982-07-12	3
2900	The Autobiography of a Flea	1976-01-01	1	release	1976-01-01	1
2901	It is Not the Pornographer That is Perverse...	2018-01-01	1	release	2018-01-01	1
2902	My Father is Coming	1991-01-01	1	release	1991-01-01	1
2903	Die Jungfrauenmaschine	1988-09-08	3	release	1988-09-08	3
2904	All the Way	2017-01-01	1	release	2017-01-01	1
2905	Fashionistas Safado: Berlin	2007-01-01	1	release	2007-01-01	1
2907	Ratu Ilmu Hitam	2019-11-07	3	release	2019-11-07	3
2908	Impetigore	2019-01-01	1	release	2019-01-01	1
2909	ジムノペディに乱れる	2016-11-26	3	release	2016-11-26	3
2911	Les crimes d'amour	1799-01-01	1	inception	1799-01-01	1
2912	Aphrodesia's Diary	1983-01-01	1	release	1983-01-01	1
2913	The Sins of Ilsa	1985-01-01	1	release	1985-01-01	1
2914	Female Misbehavior	1992-01-01	1	release	1992-01-01	1
2915	Sex World	1977-01-01	1	release	1977-01-01	1
2916	Zero Woman: Red Handcuffs	1974-01-01	1	release	1974-01-01	1
2917	Vampire Hookers	1978-01-01	1	release	1978-01-01	1
2919	The Vixens of Kung Fu	1975-01-01	1	release	1975-01-01	1
2920	Jungle Blue	1978-01-01	1	release	1978-01-01	1
2921	The Mad Love Life of a Hot Vampire	1971-01-01	1	release	1971-01-01	1
2922	Dark August	1976-01-01	1	release	1976-01-01	1
2923	Intimate Games	1976-01-01	1	release	1976-01-01	1
2924	I'm Not Feeling Myself Tonight	1976-01-01	1	release	1976-01-01	1
2925	I Can Spin a Rainbow	2017-01-01	1	release	2017-01-01	1
2926	Desires Within Young Girls	1977-01-01	1	release	1977-01-01	1
2927	A Ballad About Green Wood	1983-01-01	1	release	1983-01-01	1
2929	Circus of Books	2019-01-01	1	release	2019-01-01	1
2930	残酷・異常・虐待物語 元禄女系図	1969-01-09	3	release	1969-01-09	3
2932	Bela Lugosi's Dead / Boys	1979-08-01	2	publication	1979-08-01	2
2933	3 Days of a Blind Girl	1993-05-27	3	release	1993-05-27	3
2935	May the Devil Take You Too	2020-02-27	3	release	2020-02-27	3
2936	Saint-Narcisse	2020-01-01	1	release	2020-01-01	1
2937	Alles in Allem	2020-05-15	3	release	2020-05-15	3
2938	El vampiro sangriento	1962-09-06	3	release	1962-09-06	3
2939	Belzebuth	2017-10-14	3	release	2017-10-14	3
2940	Daughter of the Sun	1962-01-01	1	release	1962-01-01	1
2941	I Want Your Love	2012-01-01	1	release	2012-01-01	1
2943	Didn’t do it for Love	1997-01-01	1	release	1997-01-01	1
2944	Annie	1990-01-01	1	release	1990-01-01	1
2945	Fucking Different XXX	2012-01-01	1	release	2012-01-01	1
2947	Forbidden Intimacy of Two Young Housewives	2000-01-01	1	release	2000-01-01	1
2948	怪談雪女郎	1968-04-20	3	release	1968-04-20	3
2949	Fashionistas Lost	2020-01-01	1	release	2020-01-01	1
2950	Sinner Get Ready	2021-08-06	3	release	2021-08-06	3
2952	Genderation	2021-06-10	3	release	2021-06-10	3
2954	Corruption	1983-01-01	1	release	1983-01-01	1
2955	'Salem's Lot	2024-09-25	3	release	2024-09-25	3
2957	Vampir	1920-01-01	1	publication	1920-01-01	1
2958	Holky z porcelánu	1974-01-01	1	release	1974-01-01	1
2959	All Bitches Die	2017-06-07	3	release	2017-06-07	3
2960	Let the Evil of His Own Lips Cover Him	2017-02-14	3	release	2017-02-14	3
2961	Centipede Horror	1982-10-29	3	release	1982-10-29	3
2964	Living Venus	1961-01-01	1	release	1961-01-01	1
2965	巨根伝説 美しき謎	1983-01-01	1	release	1983-01-01	1
2966	Cities in Dust	1985-01-01	1	publication	1985-01-01	1
2967	The Sluts	2004-12-01	2	publication	2004-12-01	2
2968	The Sparring Partner	2022-10-27	3	release	2022-10-27	3
2971	The New Barbarians 2	1990-01-01	1	release	1990-01-01	1
2973	Closer	1989-04-01	3	publication	1989-04-01	3
2974	The Love Box	1972-01-01	1	publication	1972-01-01	1
2975	Spider-Man XXX 2: An Axel Braun Parody	2014-05-13	3	release	2014-05-13	3
2976	Arcade on Route 9	2006-08-01	3	release	2006-08-01	3
2978	Flaming Ears	1992-01-01	1	release	1992-01-01	1
2979	On the Game	1974-01-01	1	release	1974-01-01	1
2980	Satan's Bed	1965-01-01	1	release	1965-01-01	1
2981	修道女ルシア 辱＜けが＞す	1978-01-07	3	release	1978-01-07	3
2982	Niizuma kahanshin: Washizukami	1991-11-22	3	release	1991-11-22	3
2983	The Crush	2000-01-01	1	release	2000-01-01	1
2984	The Star Pit	1967-02-01	2	publication	1967-02-01	2
2986	Valentin, Pierre & Catalina	2018-08-31	3	release	2018-08-31	3
2988	Not Tonight, Darling	1971-12-01	3	release	1971-12-01	3
2990	The Visitor	2023-01-01	1	release	2023-01-01	1
2991	Unmade Beds	1976-01-01	1	release	1976-01-01	1
2992	Santo contra el doctor Muerte	1973-01-01	1	release	1973-01-01	1
2994	Pretty Peaches 2	1987-01-01	1	release	1987-01-01	1
2995	The Devil in Miss Jones 3: A New Beginning	1986-01-01	1	release	1986-01-01	1
2998	Try	1994-01-01	1	publication	1994-01-01	1
2999	Guide	1997-01-01	1	publication	1997-01-01	1
3000	Period	2000-01-01	1	publication	2000-01-01	1
3001	War Fever	1989-10-01	2	publication	1989-10-01	2
3002	Myths of the Near Future	1982-10-01	2	publication	1982-10-01	2
3003	Dream Cargoes	1990-01-01	1	publication	1990-01-01	1
3004	The Enormous Space	1989-07-01	2	publication	1989-07-01	2
3005	The Message from Mars	1992-04-01	2	publication	1992-04-01	2
3007	Satan Was a Lady	2001-01-01	1	release	2001-01-01	1
3008	The Terminal Beach	1964-01-01	1	publication	1964-01-01	1
3009	The Drowned Giant	1964-01-01	1	publication	1964-01-01	1
3010	The Object of the Attack	1984-01-01	1	publication	1984-01-01	1
3011	Bend Over Boyfriend 2	1999-01-01	1	release	1999-01-01	1
3012	The Dying Fall	1996-04-01	2	publication	1996-04-01	2
3013	The Best Short Stories of J. G. Ballard	1978-01-01	1	publication	1978-01-01	1
3014	Sleeping Beauty XXX: An Axel Braun Parody	2014-06-25	3	release	2014-06-25	3
3015	Iconoclasts	2025-10-31	3	release	2025-10-31	3
3016	The Touch of Her Flesh	1967-01-01	1	release	1967-01-01	1
3017	The Curse of Her Flesh	1968-01-01	1	release	1968-01-01	1
3018	Forbidden Letters	1979-01-01	1	release	1979-01-01	1
3023	The Submission of Emma Marx 2: Boundaries	2015-02-16	3	release	2015-02-16	3
3027	The Dancers	1981-12-04	3	release	1981-12-04	3
3028	Das Girl im Spiegel	1999-01-01	1	release	1999-01-01	1
3029	Indiana Mack	2000-11-01	3	release	2000-11-01	3
3030	Donne gatto - Ladre di sesso	1999-01-01	1	release	1999-01-01	1
3031	A Midsummer Night's Cream	2000-10-31	3	release	2000-10-31	3
3032	Cafe Flesh 2	1997-01-01	1	release	1997-01-01	1
3033	Cafe Flesh 3	2003-01-01	1	release	2003-01-01	1
3034	Cellar Dweller 3	2000-10-01	3	release	2000-10-01	3
3036	The Adventures of Dick Black, the Black Dick	1987-01-01	1	publication	1987-01-01	1
3043	Star Trek: The Original Series	1966-09-08	3	broadcast_start	1966-09-08	3
3048	Twin Peaks	1990-04-08	3	broadcast_start	1990-04-08	3
3053	The X-Files	1993-09-10	3	broadcast_start	1993-09-10	3
3074	iTunes	2001-01-09	3	publication	2001-01-09	3
3079	Snow White	1812-01-01	1	publication	1812-01-01	1
3097	Star Wars: Episode IV – A New Hope	1977-01-01	1	release	1977-01-01	1
3099	Roadrunner Records	1980-01-01	1	inception	1980-01-01	1
3104	Warner Music Group	1958-04-06	3	inception	1958-04-06	3
3105	The Raven	1845-01-29	3	publication	1845-01-29	3
3107	Hessischer Rundfunk	1948-10-02	3	inception	1948-10-02	3
3120	Jive Records	1977-01-01	1	inception	1977-01-01	1
3126	Faust	1808-01-01	1	publication	1808-01-01	1
3174	Dracula	1897-05-26	3	publication	1897-05-26	3
3181	Motown	1959-01-12	3	inception	1959-01-12	3
3189	Titanic	1997-11-01	3	release	1997-11-01	3
3194	The Hound of the Baskervilles	1902-01-01	1	publication	1902-01-01	1
3203	Pirates of the Caribbean: The Curse of the Black Pearl	2003-07-09	3	release	2003-07-09	3
3459	Strange Stories from a Chinese Studio	1740-01-01	1	publication	1740-01-01	1
3566	Alice's Adventures in Wonderland	1865-01-01	1	publication	1865-01-01	1
3673	A Midsummer Night's Dream	1600-01-01	1	publication	1600-01-01	1
3833	Beggars Banquet Records	1977-01-01	1	inception	1977-01-01	1
3862	Snow White and the Seven Dwarfs	1937-12-21	3	release	1937-12-21	3
3863	Microsoft Store	2011-01-01	1	inception	2011-01-01	1
3874	Mosfilm	1920-01-30	3	inception	1920-01-30	3
3885	Frankenstein; or, The Modern Prometheus	1818-01-01	3	publication	1818-01-01	3
3902	Polydor	1913-01-01	1	inception	1913-01-01	1
3916	Lenfilm	1914-01-01	1	inception	1914-01-01	1
3919	Nuclear Blast	1987-01-01	1	inception	1987-01-01	1
3922	Paramount Pictures	1912-05-08	3	inception	1912-05-08	3
3927	The Terminator	1984-10-26	3	release	1984-10-26	3
3932	The Dark Knight	2008-07-18	3	release	2008-07-18	3
3940	Sire	1966-01-01	1	inception	1966-01-01	1
3941	Mercury Records	1945-01-01	1	inception	1945-01-01	1
3988	Interview with the Vampire	1976-04-12	3	publication	1976-04-12	3
3998	One Hundred Years of Solitude	1967-01-01	1	publication	1967-01-01	1
4019	The Avengers	2012-04-25	3	release	2012-04-25	3
4027	Columbia Records	1889-01-15	3	inception	1889-01-15	3
4028	EMI	1928-03-29	3	inception	1928-03-29	3
4038	Treasure Island	1883-11-14	3	publication	1883-11-14	3
4065	The Little Mermaid	1989-01-01	1	release	1989-01-01	1
4067	Dune	1965-01-01	1	publication	1965-01-01	1
4069	Island Records	1959-07-04	3	inception	1959-07-04	3
4082	Capitol Records	1942-01-01	1	inception	1942-01-01	1
4094	The Wizard of Oz	1939-08-25	3	release	1939-08-25	3
4098	ZickZack Schallplatten	1980-01-01	1	inception	1980-01-01	1
4113	Atlantic Records	1947-01-01	1	inception	1947-01-01	1
4114	RCA Records	1901-01-01	1	inception	1901-01-01	1
4118	Virgin Records	1972-01-01	1	inception	1972-01-01	1
4160	Parlophone	1896-01-01	1	inception	1896-01-01	1
4175	Hard to Be a God	1964-01-01	1	publication	1964-01-01	1
4186	Geffen Records	1980-01-01	1	inception	1980-01-01	1
4187	The War of the Worlds	1897-01-01	1	publication	1897-01-01	1
4205	Sleeping Beauty	1959-01-29	3	release	1959-01-29	3
4212	Epic Records	1953-01-01	1	inception	1953-01-01	1
4217	Strange Case of Dr Jekyll and Mr Hyde	1886-01-01	1	publication	1886-01-01	1
